produto,Unnamed: 1,prediction
bolo bamboo limao 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__pães,pão', '__label__cozinha,forma', '__label__pães,pao', '__label__ingredientes'), array([0.03374643, 0.02204892, 0.01834236, 0.00885179, 0.00829243]))"
bolo bamboo tradicional 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.08486629, 0.06379829, 0.03556516, 0.02227757, 0.01230673]))"
bolo bamboo formigueiro 720g un 720 g,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03035555, 0.02870165, 0.01805849, 0.00716244, 0.00636545]))"
bolo bamboo chocolate 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__ingredientes', '__label__pães,pão', '__label__chocolates,ovo'), array([0.11745892, 0.04466743, 0.01510705, 0.01319994, 0.00772086]))"
bolo bamboo mesclado 720g un 720 g,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03569146, 0.03264284, 0.01813701, 0.00709719, 0.00617362]))"
farinha de mandioca da roca amarela 1kg,,"(('__label__peixes,filé', '__label__farináceos', '__label__grãos,milho', '__label__peixes,file', '__label__cabelo,creme'), array([0.10341263, 0.09038586, 0.08121888, 0.05037105, 0.02623884]))"
pd pao forma fatiado bokitus 400g,,"(('__label__pães,pão', '__label__pães,pao', '__label__pães,pães', '__label__arroz,arroz', '__label__vegetais'), array([0.16963676, 0.07908501, 0.03160013, 0.01371822, 0.01293538]))"
vela aib copo 100g citronela amarela,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__conveniências,cola', '__label__ovos,ovo'), array([9.99035597e-01, 6.26434805e-04, 4.84605698e-05, 2.89054915e-05,
       1.77060083e-05]))"
tempero sabor ami 300g.c/alho e sal,,"(('__label__temperos', '__label__sopas', '__label__aperitivos', '__label__lanches', '__label__achocolatados'), array([0.96212208, 0.00509272, 0.00487259, 0.00303574, 0.00277759]))"
kisabor pimenta comari 60g.vidro,,"(('__label__conservas,pimenta', '__label__chás,cha', '__label__jardinagem,semente', '__label__sal,sal', '__label__cozinha,moedor'), array([0.04967271, 0.03371824, 0.02734194, 0.023539  , 0.01890446]))"
sabonete phebo 90g.naturelle,,"(('__label__cabelo,pente', '__label__cabelo,kit', '__label__cozinha,kit', '__label__cozinha,porta', '__label__cozinha,tampa'), array([0.01706439, 0.01347938, 0.01043642, 0.01039792, 0.00579339]))"
acougue costela suina salgada kg.,,"(('__label__churrasco,carvão', '__label__legumes,tomate', '__label__frios,presunto', '__label__frios,salame', '__label__legumes,cebola'), array([0.00113786, 0.00103845, 0.0009607 , 0.00095177, 0.00093871]))"
past valda extra forte lt 50g,,"(('__label__cafés,café', '__label__chocolates,chocolate', '__label__conveniências,cola', '__label__cafés,cafe', '__label__verduras,salada'), array([0.04920274, 0.02032438, 0.00811208, 0.00695548, 0.0064974 ]))"
geleia duga 260g jabuticaba/marrasquino vidro,,"(('__label__doces', '__label__conveniências,vela', '__label__cozinha,porta', '__label__conveniências,velas', '__label__cozinha,kit'), array([0.19893859, 0.11050607, 0.02329778, 0.01895601, 0.01831706]))"
acetona musa 100ml,,"(('__label__corpo,deo', '__label__corpo,óleo', '__label__corpo,repelente', '__label__corpo,perfume', '__label__papelaria,tinta'), array([0.07054833, 0.03087008, 0.0291825 , 0.02101338, 0.02029536]))"
vela aniv.cromus letras parabens color,,"(('__label__conveniências,vela', '__label__utensílios', '__label__papelaria,caneta', '__label__conveniências,velas', '__label__cozinha,copo'), array([0.05034444, 0.04040851, 0.012555  , 0.01158103, 0.00943291]))"
geleia barbosa mor 260g,,"(('__label__doces', '__label__farmácia', '__label__cozinha,conjunto', '__label__cozinha,kit', '__label__cozinha,jogo'), array([0.2524828 , 0.01855868, 0.01515331, 0.01397908, 0.01123846]))"
geleia barbosa lar pim 260g,,"(('__label__doces', '__label__conveniências,vela', '__label__cozinha,kit', '__label__cozinha,conjunto', '__label__cozinha,jogo'), array([0.035719  , 0.0131924 , 0.01175378, 0.01132071, 0.00988235]))"
bolo ana bolos fuba un,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__cozinha,assadeira', '__label__cozinha,espatula', '__label__cães,osso'), array([0.23414992, 0.02568171, 0.01051785, 0.00828118, 0.00640193]))"
bacalhau desfiado 1kg,,"(('__label__peixes,peixe', '__label__feijão,feijão', '__label__arroz,arroz', '__label__vegetais', '__label__peixes,file'), array([0.23315491, 0.04845796, 0.04545682, 0.04070523, 0.03504347]))"
vinho udaca irreverent 750ml tinto unidade,,"(('__label__vinhos,vinho', '__label__vinhos,espumante', '__label__vinhos,vho', '__label__vinhos,vita', '__label__destilados,whisky'), array([0.78703994, 0.02187124, 0.01115939, 0.00768735, 0.00763192]))"
flor nat anturiu p14 unidade,,"(('__label__verduras,couve', '__label__verduras,alface', '__label__corpo,sabonete', '__label__verduras,verdura', '__label__verduras,agrião'), array([0.03868386, 0.03593289, 0.02320322, 0.01536314, 0.01289947]))"
g mal dexclorfeniramina xpe 120 geolab,,"(('__label__farmácia', '__label__biscoitos', '__label__chocolates,chocolate', '__label__verduras,salada', '__label__chocolates,bombom'), array([0.00964374, 0.00597468, 0.00596197, 0.00368871, 0.0036719 ]))"
refil mop lustra-mais microfibras,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,fita', '__label__cozinha,kit', '__label__cozinha,torneira'), array([9.74985123e-01, 4.93140949e-04, 1.02442813e-04, 9.36410215e-05,
       9.34973577e-05]))"
limpa pisos che.bebe 500 ml,,"(('__label__roupas,amaciante', '__label__destilados,cachaça', '__label__cervejas,cerveja', '__label__roupas,lava', '__label__refrigerantes,refrigerante'), array([0.08703451, 0.05903367, 0.04868986, 0.03789883, 0.03170313]))"
fervedor leite antiad.n.14,,"(('__label__chocolates,bombom', '__label__chocolates,chocolate', '__label__doces', '__label__cozinha,porta', '__label__destilados,licor'), array([0.1007593 , 0.08003768, 0.02582289, 0.02020162, 0.01719064]))"
colher de servir silicone wellmix preto,,"(('__label__cozinha,colher', '__label__cozinha,espatula', '__label__cozinha,pegador', '__label__cozinha,espátula', '__label__cozinha,conjunto'), array([0.46359655, 0.05393471, 0.05000268, 0.03014635, 0.029484  ]))"
concha silicone wellmix preta,,"(('__label__cozinha,colher', '__label__cozinha,espatula', '__label__cozinha,concha', '__label__bebê,chupeta', '__label__conveniências,cola'), array([0.20132403, 0.09423611, 0.06588146, 0.04181138, 0.03697199]))"
good codornas do chef a passarinho 1kg,,"(('__label__sal,sal', '__label__cafés,café', '__label__frutos', '__label__peixes,peixe', '__label__laticínios,manteiga'), array([0.10340072, 0.06626255, 0.05719201, 0.02824925, 0.01907147]))"
couve flor pratico 200g,,"(('__label__legumes,cogumelo', '__label__verduras,couve', '__label__verduras,salada', '__label__grãos,linhaça', '__label__frutas,frutas'), array([0.07930719, 0.06453201, 0.02409264, 0.01484715, 0.01475112]))"
pimenta do reino,,"(('__label__frutos', '__label__sal,sal', '__label__conservas,pimenta', '__label__temperos', '__label__vinhos,vinho'), array([0.21989439, 0.20374115, 0.17959529, 0.06570912, 0.03822375]))"
piumenta com / c dacasa 25g,,"(('__label__farmácia', '__label__chocolates,chocolate', '__label__higiene,absorvente', '__label__chás,chá', '__label__vitaminas,vitamina'), array([0.05533022, 0.05083507, 0.03871017, 0.03644906, 0.0319106 ]))"
mikitos queijos 30g,,"(('__label__biscoitos', '__label__chocolates,chocolate', '__label__chocolates,bombom', '__label__doces', '__label__corpo,cera'), array([0.0463669 , 0.03599453, 0.01973257, 0.01944455, 0.01867992]))"
polpa de manga 100g,,"(('__label__sucos,polpa', '__label__grãos,semente', '__label__chás,chá', '__label__sucos,suco', '__label__sucos,refresco'), array([9.86974537e-01, 2.46967725e-03, 1.11459999e-03, 5.93292585e-04,
       4.01871803e-04]))"
mikitos,,"(('__label__conveniências,cola', '__label__churrasco,carvão', '__label__conveniências,fita', '__label__produtos', '__label__cozinha,porta'), array([0.02036034, 0.01481416, 0.01353583, 0.01303364, 0.01217623]))"
pimenta do reino grao 25g,,"(('__label__temperos', '__label__conservas,pimenta', '__label__chás,cha', '__label__sal,sal', '__label__chás,chá'), array([0.31418917, 0.22775945, 0.06642878, 0.0451412 , 0.04192549]))"
polpa de abacaxi,,"(('__label__sucos,polpa', '__label__sucos,suco', '__label__sucos,refresco', '__label__molhos', '__label__sucos,xarope'), array([0.74894875, 0.05743704, 0.00980324, 0.00920785, 0.00791726]))"
polpa de maracuja,,"(('__label__sucos,polpa', '__label__sucos,suco', '__label__molhos', '__label__jardinagem,semente', '__label__chás,chá'), array([0.53059071, 0.04730744, 0.04352726, 0.01782411, 0.01252834]))"
polpa de cupuacu,,"(('__label__sucos,polpa', '__label__jardinagem,semente', '__label__grãos,semente', '__label__doces', '__label__molhos'), array([0.46417683, 0.02097732, 0.02030268, 0.0194233 , 0.01743365]))"
pilha media panazoni,,"(('__label__farmácia', '__label__utensílios', '__label__papelaria,barbante', '__label__conveniências,cola', '__label__produtos'), array([0.02846216, 0.02344656, 0.00954991, 0.00901543, 0.00867227]))"
doce abob/coco 950g,,"(('__label__doces', '__label__chocolates,bombom', '__label__chocolates,chocolate', '__label__jardinagem,semente', '__label__legumes,batata'), array([0.15268141, 0.0140014 , 0.01217345, 0.01185855, 0.00883837]))"
pente masculino c/1,,"(('__label__cabelo,kit', '__label__cabelo,pente', '__label__cabelo,escova', '__label__corpo,desodorante', '__label__cabelo,tinta'), array([0.2673977 , 0.07953036, 0.0196921 , 0.01285128, 0.01213414]))"
cacarola aluminio n.14,,"(('__label__cozinha,frigideira', '__label__cozinha,cacarola', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,""pote'), array([0.05132942, 0.02290369, 0.01843044, 0.01647904, 0.0150152 ]))"
cacarola aluminio n.22,,"(('__label__cozinha,frigideira', '__label__cozinha,cacarola', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,assadeira'), array([0.06968606, 0.02888799, 0.02721364, 0.0237016 , 0.01771211]))"
batata frita congelada palito carrefour discount,,"(('__label__vegetais', '__label__pães,pao', '__label__aves,coxinha', '__label__frios,mortadela', '__label__aves,frango'), array([0.40598378, 0.01186289, 0.01134708, 0.01022326, 0.00967342]))"
talher simonag.sintonia dec.vermelh,,"(('__label__cozinha,porta', '__label__cozinha,kit', '__label__cozinha,conjunto', '__label__cozinha,copo', '__label__cozinha,""pote'), array([0.48913282, 0.12003737, 0.03471685, 0.01430124, 0.01257582]))"
vela aniv metal bicolor n0,,"(('__label__conveniências,vela', '__label__embalagens', '__label__utensílios', '__label__conveniências,velas', '__label__cozinha,prato'), array([0.90520084, 0.02742653, 0.01276748, 0.01251196, 0.00209033]))"
vela aniv metal bicolor n3 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__utensílios', '__label__bebê,chupeta'), array([0.94922644, 0.01955334, 0.01076324, 0.00249202, 0.00170933]))"
vela aniv metal bicolor n4 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__utensílios'), array([0.93297821, 0.01990091, 0.01353812, 0.0022629 , 0.00186571]))"
vela aniv metal bicolor n6 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__utensílios', '__label__bebê,chupeta'), array([0.93734771, 0.01598877, 0.01378046, 0.00256252, 0.00192456]))"
vela aniv metal bicolor n7 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__utensílios', '__label__cozinha,copo'), array([0.9572888 , 0.01090908, 0.01028638, 0.00401993, 0.00116604]))"
balao latex gigante n250 laranja,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,vela', '__label__conveniências,fita', '__label__refrigerantes,refrigerante'), array([9.70007837e-01, 1.07583711e-02, 9.01191204e-04, 8.32946738e-04,
       3.70687107e-04]))"
faca desc refeicao branca elegance,,"(('__label__conveniências,vela', '__label__utensílios', '__label__conveniências,velas', '__label__cozinha,kit', '__label__conveniências,cola'), array([0.04066672, 0.01940647, 0.01725286, 0.01336116, 0.01235263]))"
faca desc refeicao dourado elegance,,"(('__label__utensílios', '__label__farmácia', '__label__bebê,fralda', '__label__cozinha,kit', '__label__cozinha,copo'), array([0.01657067, 0.01373191, 0.01277527, 0.01271378, 0.01099047]))"
faca desc refeicao prata elegance,,"(('__label__utensílios', '__label__conveniências,vela', '__label__cozinha,copo', '__label__conveniências,velas', '__label__cozinha,porta'), array([0.03831474, 0.0294394 , 0.01745012, 0.0147339 , 0.01151952]))"
faca desc refeicao preto elegance,,"(('__label__utensílios', '__label__farmácia', '__label__papelaria,lápis', '__label__papelaria,lapis', '__label__cozinha,colher'), array([0.03204309, 0.01993482, 0.01930217, 0.01892147, 0.01627595]))"
vela aniv metal bicolor n8 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__utensílios', '__label__cozinha,copo'), array([0.963471  , 0.01011167, 0.00690036, 0.0027349 , 0.00126185]))"
